Date,AV.L,BLND.L,BP.L,HSBA.L,RR.L
2023-01-03,448.9,408.2,483.35,529.9,98.91
2023-01-04,456.8,412.8,465.85,543.5,101.4
2023-01-05,448.7,409.5,471.75,565.3,102.66
2023-01-06,456.0,410.2,477.05,568.6,102.9
2023-01-09,455.0,410.0,479.3,563.2,103.76
2023-01-10,458.4,410.2,475.1,564.1,101.02
2023-01-11,448.7,420.3,478.55,569.6,102.58
2023-01-12,451.7,430.9,485.0,581.8,104.0
2023-01-13,444.2,432.5,484.35,591.2,108.76
2023-01-16,443.9,440.5,481.0,596.1,107.16
2023-01-17,441.8,441.6,484.65,591.2,108.54
2023-01-18,441.0,437.0,486.2,590.7,108.26
2023-01-19,436.2,435.6,474.7,585.5,105.08
2023-01-20,439.0,433.8,475.85,592.6,106.6
2023-01-23,440.1,434.7,480.8,592.1,108.2
2023-01-24,441.3,435.9,475.25,594.8,111.4
2023-01-25,455.7,436.1,,598.5,111.72
2023-01-26,455.1,439.1,484.2,603.9,113.48
2023-01-27,457.4,441.5,489.3,600.5,110.2
2023-01-30,456.9,442.4,492.05,602.0,109.12
2023-01-31,455.7,442.4,488.85,596.4,105.74
2023-02-01,450.3,446.6,492.45,601.3,105.18
2023-02-02,452.5,471.4,478.8,591.0,108.74
2023-02-03,450.3,466.9,486.05,596.7,109.08
2023-02-06,445.8,455.9,478.35,596.0,108.08
2023-02-07,443.7,452.1,516.4,605.0,107.96
2023-02-08,440.9,455.3,533.2,612.4,109.22
2023-02-09,444.9,455.3,545.7,615.8,108.72
2023-02-10,440.0,450.1,560.0,610.6,107.48
2023-02-13,442.2,452.4,557.4,613.7,109.46
2023-02-14,443.0,447.7,560.1,609.2,108.36
2023-02-15,447.2,446.4,559.7,612.3,112.0
2023-02-16,447.8,448.1,567.6,618.4,113.8
2023-02-17,447.6,447.7,559.9,621.1,112.46
2023-02-20,447.1,445.8,558.2,620.7,111.8
2023-02-21,441.8,439.3,550.3,647.5,109.98
2023-02-22,437.9,436.8,539.4,636.1,107.62
2023-02-23,439.3,438.8,547.0,630.1,133.1
2023-02-24,440.0,437.2,550.2,635.7,136.04
2023-02-27,444.1,446.3,558.2,631.8,145.0
2023-02-28,446.4,446.7,550.5,635.6,144.94
2023-03-01,448.3,441.9,,640.3,148.42
2023-03-02,445.1,442.9,561.2,619.0,148.16
2023-03-03,447.2,444.1,555.3,618.3,149.64
2023-03-06,449.0,453.6,559.4,617.8,152.78
2023-03-07,448.7,444.3,558.5,624.3,153.18
2023-03-08,450.1,433.6,558.4,630.7,156.86
2023-03-09,462.4,419.2,557.0,621.1,158.04
2023-03-10,449.7,409.7,549.2,592.6,150.1
2023-03-13,424.3,404.6,522.5,568.1,145.0
2023-03-14,428.6,411.0,530.8,577.0,155.2
2023-03-15,407.0,406.9,486.8,548.4,144.14
2023-03-16,415.0,399.9,482.45,558.1,146.3
2023-03-17,402.2,391.4,479.95,542.1,140.3
2023-03-20,411.6,399.8,487.0,541.7,140.98
2023-03-21,423.2,398.9,503.4,554.0,150.0
2023-03-22,420.7,375.0,504.4,564.6,149.22
2023-03-23,416.0,367.8,498.7,548.2,147.34
2023-03-24,408.3,366.1,486.3,534.0,143.54
2023-03-27,412.7,365.9,496.4,541.1,144.34
2023-03-28,413.7,363.6,507.8,541.1,145.34
2023-03-29,420.1,374.1,510.5,554.0,148.0
2023-03-30,405.5,388.5,513.2,555.3,150.2
2023-03-31,404.2,387.8,510.8,549.7,149.02
2023-04-03,404.6,390.1,532.7,556.4,149.65
2023-04-04,408.1,388.5,527.2,551.2,145.5
2023-04-05,409.0,382.3,533.7,554.2,143.75
2023-04-06,417.1,393.1,531.9,562.9,147.95
2023-04-11,420.2,389.7,537.0,562.4,147.15
2023-04-12,422.7,392.4,539.6,561.6,147.6
2023-04-13,425.1,388.9,538.7,567.3,149.15
2023-04-14,421.7,394.5,541.0,584.3,149.75
2023-04-17,417.4,396.3,543.8,578.1,151.0
2023-04-18,419.0,391.5,544.5,574.6,155.85
2023-04-19,423.2,385.7,535.4,573.4,155.35
2023-04-20,425.8,386.0,530.7,575.1,155.0
2023-04-21,420.3,384.1,530.0,573.7,154.35
2023-04-24,421.6,388.8,533.9,573.3,153.6
2023-04-25,419.3,383.4,529.3,566.3,152.9
2023-04-26,418.6,388.9,533.1,571.7,151.95
2023-04-27,419.7,389.6,523.6,575.4,152.0
2023-04-28,423.0,400.2,534.4,573.8,152.15
2023-05-02,415.2,392.1,488.35,593.9,150.5
2023-05-03,417.0,393.6,487.1,593.2,151.9
2023-05-04,408.3,393.3,476.5,584.0,149.2
2023-05-05,414.6,398.3,492.3,599.8,151.15
2023-05-09,414.0,386.9,488.55,599.3,151.65
2023-05-10,412.9,385.7,487.1,601.1,156.3
2023-05-11,414.4,382.0,477.7,593.6,145.9
2023-05-12,412.7,371.1,483.0,599.7,148.3
2023-05-15,412.8,375.1,481.7,611.0,145.1
2023-05-16,410.3,377.9,475.95,605.7,148.15
2023-05-17,410.4,356.5,478.35,603.0,152.85
2023-05-18,412.9,351.0,480.55,612.9,155.55
2023-05-19,413.5,356.2,481.4,610.8,156.0
2023-05-22,418.5,356.4,481.65,617.2,157.3
2023-05-23,423.8,365.7,488.3,617.8,153.2
2023-05-24,398.9,356.6,486.5,600.2,146.85
2023-05-25,400.1,352.5,474.95,606.4,148.8
2023-05-26,401.3,345.7,476.9,610.8,149.05
2023-05-30,405.1,343.4,466.6,600.1,144.4
2023-05-31,394.2,343.0,453.3,590.5,143.3
2023-06-01,398.6,345.7,461.5,593.8,146.4
2023-06-02,409.1,355.3,474.35,602.7,150.0
2023-06-05,405.4,352.5,472.95,606.1,147.3
2023-06-06,407.7,356.4,471.25,610.8,148.05
2023-06-07,406.6,352.5,473.75,616.1,150.15
2023-06-08,403.5,351.0,472.65,611.0,149.45
2023-06-09,400.9,347.0,468.9,607.5,149.25
2023-06-12,398.2,343.9,462.6,605.3,150.15
2023-06-13,400.1,336.7,464.85,609.6,150.9
2023-06-14,400.8,334.7,461.15,610.8,150.75
2023-06-15,397.8,334.7,459.7,609.4,150.05
2023-06-16,396.0,343.0,459.6,611.8,151.2
2023-06-19,394.9,337.0,461.4,615.0,153.8
2023-06-20,393.9,335.9,453.95,615.2,157.0
2023-06-21,391.9,329.2,464.0,618.1,157.55
2023-06-22,385.8,308.4,460.0,606.7,156.05
2023-06-23,386.2,297.5,454.65,602.2,154.65
2023-06-26,388.5,297.5,459.0,604.1,154.8
2023-06-27,389.6,297.3,452.7,610.3,155.45
2023-06-28,392.2,303.9,455.2,613.3,155.8
2023-06-29,388.3,300.6,454.8,618.8,148.7
